FIPS,Total,Male,Female,Eighteen_Years_Plus,SixFive_Years_Plus,One_Race,Two_Plus_Races
5049,12231,6106,6125,9705,3122,11919,312
5051,98555,47295,51260,78586,23000,95830,2725
5053,18126,8893,9233,14055,3228,17760,366
5055,44937,22083,22854,33916,7076,44147,790
5057,21842,10323,11519,16230,3905,21378,464
5059,33597,17484,16113,26703,6288,33014,583
5061,13311,6388,6923,9854,2346,13017,294
5063,37427,18350,19077,28434,6453,36411,1016
5065,13570,7067,6503,11152,3390,13218,352
5067,17027,8427,8600,13587,2986,15420,1607
5069,69282,34282,35000,53990,11625,68466,816
5071,26372,12966,13406,19996,4285,25696,676
5073,6800,3440,3360,5477,1582,6690,110
5075,16549,8211,8338,12820,3199,16266,283
5077,9194,5220,3974,7519,1729,9127,67
5079,13455,8612,4843,11423,2030,13329,126
5081,12347,5966,6381,9609,2547,12070,277
5083,21668,10677,10991,16926,4284,21045,623
5085,72528,35687,36841,53757,9549,70780,1748
5087,16211,8034,8177,12395,3061,15887,324
5089,16476,7959,8517,13512,4631,16217,259
5091,43572,21369,22203,33204,7136,42688,884
5093,42126,20436,21690,31032,6088,40775,1351
5095,7050,3308,3742,5573,1609,6939,111
5097,8950,4478,4472,7304,2403,8719,231
5099,8351,4237,4114,6451,1693,8149,202
5101,7812,3868,3944,6267,1991,7665,147
5103,23830,11371,12459,18399,4675,23564,266
5105,10355,5172,5183,8030,2062,10229,126
5107,18606,8738,9868,13807,3375,18515,91
5109,10756,5312,5444,8417,2169,10609,147
5111,23896,11644,12252,18203,4256,22463,1433
5113,20094,9720,10374,15422,4509,19406,688
5115,63761,31330,32431,49161,9732,62120,1641
5117,8189,4095,4094,6545,1915,8144,45
5119,392967,187895,205072,301305,58959,382167,10800
5121,17695,8839,8856,13548,3525,17361,334
5123,25900,14094,11806,19936,4173,25422,478
5125,119415,58571,60844,91409,20913,117037,2378
5127,10376,5313,5063,7735,2150,9848,528
5129,7908,3998,3910,6316,2001,7734,174
5131,127591,62343,65248,96781,19894,121600,5991
5133,17081,8584,8497,12190,2372,16785,296
5135,17139,8397,8742,13518,4435,16552,587
5137,12475,6190,6285,10040,3335,12183,292
5139,39449,19101,20348,29922,6804,39001,448
5141,16642,8214,8428,13342,4268,16260,382
5143,232289,115916,116373,175263,26461,224145,8144
5145,78762,38474,40288,60310,12691,77013,1749
5147,6533,3006,3527,5128,1481,6461,72
5149,21464,10755,10709,16227,3745,21218,246
6001,1656754,814515,842239,1312727,224026,1549761,106993
6003,1039,554,485,838,311,986,53
6005,38429,20640,17789,32582,10246,36599,1830
6007,225817,111735,114082,180378,40685,212046,13771
6009,45514,22663,22851,37703,12519,43152,2362
6011,21454,10994,10460,15612,3082,20845,609
6013,1142251,558502,583749,881048,175882,1064295,77956
6015,27495,14745,12750,21575,4727,25759,1736
6017,188563,93922,94641,150641,38570,181300,7263
6019,984521,491146,493375,703677,117777,944137,40384
6021,27976,14218,13758,20491,4460,27331,645
6023,135940,67576,68364,109803,23518,127300,8640
6025,180701,92752,87949,128848,22841,174187,6514
6027,17977,9062,8915,14368,4097,17127,850
6029,887641,454843,432798,629552,94712,856609,31032
6031,150691,82995,67696,109652,15063,144548,6143
6033,64195,31865,32330,50795,14333,61820,2375
6035,30818,20332,10486,26216,4379,30059,759
6037,10081570,4969382,5112188,7866810,1335978,9678803,402767
6039,155433,74972,80461,112580,21431,150372,5061
6041,259943,126956,132987,207310,56170,247187,12756
6043,17420,8872,8548,14580,4790,16665,755
6045,87224,43242,43982,68522,18532,82934,4290
6047,271382,136987,134395,190923,29956,260318,11064
6049,8907,4626,4281,7155,2401,8703,204
6051,14310,7634,6676,11639,2049,13778,532
6053,433410,221001,212409,319541,57240,414854,18556
6055,139623,69603,70020,110422,25968,134243,5380
6057,99244,48947,50297,82145,26254,95470,3774
6059,3168044,1563832,1604212,2463536,455105,3038035,130009
6061,385512,188162,197350,299181,73772,366519,18993
6063,18660,9282,9378,15543,5050,17906,754
6065,2411439,1200960,1210479,1797290,340575,2305123,106316
6067,1524553,744997,779556,1161377,209596,1410676,113877
6069,60376,30151,30225,44698,7529,57178,3198
6071,2149031,1069766,1079265,1577463,241961,2042082,106949
6073,3316073,1669515,1646558,2593335,454089,3142279,173794
6075,874961,446286,428675,757415,134981,826248,48713
6077,742603,370152,372451,539902,93081,661405,81198
6079,282165,143006,139159,231989,54847,271728,10437
6081,767423,379328,388095,607919,120877,723931,43492
6083,444829,222659,222170,345645,66563,426277,18552
6085,1927470,974422,953048,1499088,254174,1827327,100143
6087,273962,135634,138328,220841,43155,260876,13086
6089,179212,88047,91165,140533,36272,171703,7509
6091,3040,1625,1415,2558,892,3016,24
6093,43468,21708,21760,34642,10732,40661,2807
6095,441829,219818,222011,342990,67309,408825,33004
6097,499772,244045,255727,400582,94913,473011,26761
6099,543194,268871,274323,395571,69679,520630,22564
6101,96109,47866,48243,71050,14418,89324,6785
6103,63912,31773,32139,48654,12307,61045,2867
6105,12700,6535,6165,10534,3410,12449,251
